PLACE,indicator,Strongly_D,Moderate,Agree,Strongly_A,Total,pct_agree,lat,lon
Kampung Pulai,Attend Smart City Meetings,2,7,17,11,37,75.7,1.4700005200569213,103.57105120102871
Nusa Sentral,Attend Smart City Meetings,0,0,0,1,1,100.0,1.465913795779402,103.61999373959245
Nusa Idaman,Attend Smart City Meetings,0,1,4,8,13,92.3,1.4685549974958767,103.63698309117409
Nusantara,Attend Smart City Meetings,0,0,0,1,1,100.0,1.4607259999999993,103.57992000000003
Pangsapuri Seri Mengkuang,Attend Smart City Meetings,0,0,2,0,2,100.0,1.3734244243868927,103.5928570083068
Pangsapuri Mengkuang,Attend Smart City Meetings,0,1,2,0,3,66.7,1.3758514746128425,103.59053703382611
Pekajang,Attend Smart City Meetings,0,0,0,1,1,100.0,1.3563022643554572,103.56359539905075
Perumahan Iskandar Malaysia,Attend Smart City Meetings,0,0,0,1,1,100.0,1.4767069191508742,103.6125235659439
Rumah Iskandar,Attend Smart City Meetings,1,3,8,8,20,80.0,1.4780528940047604,103.61829582592011
Skudai,Attend Smart City Meetings,1,0,1,1,3,66.7,1.5315719999999997,103.66048700000003
Sunway,Attend Smart City Meetings,0,2,1,0,3,33.3,1.3890379999999996,103.63923900000003
Sunway Iskandar Puteri,Attend Smart City Meetings,0,1,0,1,2,50.0,1.3920988729986623,103.63520964839215
Taman Desa Skudai,Attend Smart City Meetings,6,7,11,15,39,66.7,1.5445389999999994,103.64477400000003
Taman Desa Paya Mengkuang,Attend Smart City Meetings,0,0,1,0,1,100.0,1.3782679999999992,103.59063600000003
Taman Jaya Mas,Attend Smart City Meetings,0,1,0,0,1,0.0,1.494323999999999,103.64437500000004
Taman Harmoni,Attend Smart City Meetings,1,0,2,2,5,80.0,1.5366069999999992,103.65275500000003
Taman Medini,Attend Smart City Meetings,0,0,0,1,1,100.0,1.4382652948728767,103.63512496948204
Taman Mutiara Rini,Attend Smart City Meetings,1,2,6,4,13,76.9,1.5253379999999994,103.63999100000002
Taman Mas Gelang Patah,Attend Smart City Meetings,0,5,6,3,14,64.3,1.4583119999999998,103.58953500000003
Taman Nusa Sentral,Attend Smart City Meetings,3,6,11,8,28,67.9,1.4686479101754246,103.6218457728127
Taman Nusantara Gelang Patah,Attend Smart City Meetings,7,12,29,28,76,75.0,1.469847999999999,103.58241300000003
Taman Pulai Indah,Attend Smart City Meetings,0,0,0,1,1,100.0,1.5415969999999994,103.58063000000003
Taman Nusa Perintis,Attend Smart City Meetings,6,6,11,9,32,62.5,1.4547929999999991,103.59158100000003
Taman Skudai,Attend Smart City Meetings,0,1,1,0,2,50.0,1.5152201341720626,103.64827600217464
Taman Skudai Baru,Attend Smart City Meetings,0,0,0,1,1,100.0,1.4989249999999998,103.63336700000004
Taman Pulai Utama,Attend Smart City Meetings,3,1,8,8,20,80.0,1.546635,103.61666900000003
Taman Sri Pulai,Attend Smart City Meetings,1,6,12,11,30,76.7,1.5662840000000007,103.62084300000002
Taman Sri Pulai Perdana,Attend Smart City Meetings,5,1,2,4,12,50.0,1.5608590000000002,103.61197300000003
Taman Sri Orkid,Attend Smart City Meetings,1,0,2,5,8,87.5,1.5111799999999993,103.63989200000003
Taman Ungku Tun Aminah,Attend Smart City Meetings,2,8,8,14,32,68.8,1.5222169999999993,103.65947500000003
Tanjung Adang,Attend Smart City Meetings,0,0,1,1,2,100.0,1.354748269159172,103.56555518083186
Taman Universiti,Attend Smart City Meetings,1,0,0,0,1,0.0,1.5338589999999999,103.61640700000002
Tun Aminah,Attend Smart City Meetings,2,4,16,11,33,81.8,1.5114129999999992,103.65721300000003
Tanjung Kupang,Attend Smart City Meetings,5,4,5,5,19,52.6,1.3836689999999994,103.60085000000002
Kampung Desa Paya Mengkuang,Attend Smart City Meetings,1,0,0,0,1,0.0,1.3728309999999984,103.58580900000003
Kangkar Pulai,Volunteer for Smart City Initiatives,0,1,0,2,3,66.7,1.557623346255399,103.5900325818511
Mutiara Rini,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.5078355041694056,103.62959825945602
Kampung Melayu Batu Skudai,Volunteer for Smart City Initiatives,0,3,8,15,26,88.5,1.5375311775221678,103.66057884175193
Kampung Teluk Serdang,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.497540820206339,103.6842046362624
Kampung Pasir,Volunteer for Smart City Initiatives,0,1,1,0,2,50.0,1.4945853313486772,103.6885092299382
Kampung Pasir Tampoi,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.489528976711252,103.69234611081013
Kampung Sungai Melayu,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.4727686482514186,103.69618299168198
Kota Iskandar,Volunteer for Smart City Initiatives,0,1,10,9,20,95.0,1.4217283625881747,103.65186469287806
Medini,Volunteer for Smart City Initiatives,0,0,1,1,2,100.0,1.4081059483297786,103.62848648849575
Kampung Bukit Kucing,Volunteer for Smart City Initiatives,0,1,1,0,2,50.0,1.390854856037487,103.60100371387837
Kampung Ladang,Volunteer for Smart City Initiatives,3,5,16,25,49,83.7,1.3664653807276952,103.62039632107592
Kampung Pendas,Volunteer for Smart City Initiatives,0,0,4,1,5,100.0,1.369439706984987,103.62753470409342
Kampung Pok Besar,Volunteer for Smart City Initiatives,1,0,2,1,4,75.0,1.361944404816612,103.58708386699425
Kampung Pok Kecil,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.361230566514862,103.5806593222785
Kampung Pok,Volunteer for Smart City Initiatives,0,1,3,3,7,85.7,1.3539732104470705,103.5778039690715
Kampung Tanjong Adang,Volunteer for Smart City Initiatives,0,1,1,3,5,80.0,1.35376500760906,103.567810232847
Kampung Pekajang,Volunteer for Smart City Initiatives,3,9,13,30,55,78.2,1.3582264969949973,103.5627538782096
Kampung Tiram Duku,Volunteer for Smart City Initiatives,0,0,1,2,3,100.0,1.3850020006229986,103.5802827126119
Kampung Simpang Arang,Volunteer for Smart City Initiatives,0,1,1,2,4,75.0,1.411161406593094,103.56791179966416
Kampung Lalang,Volunteer for Smart City Initiatives,0,1,0,0,1,0.0,1.4439454220430472,103.61894975107613
Kampung Baru Muafakat,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.4422322101188472,103.59567862243908
Gelang Patah,Volunteer for Smart City Initiatives,0,0,0,3,3,100.0,1.448085684193197,103.59525031945803
Kampung Melayu,Volunteer for Smart City Initiatives,0,7,26,17,50,86.0,1.449299209306172,103.58161600789461
Kampung Pulai Mutiara,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.4562234408331467,103.56898106995364
Kampung Melayu Baru,Volunteer for Smart City Initiatives,0,2,11,11,24,91.7,1.4561520570029718,103.56512634312419
Kampung Bukit Tempuring,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.4596498646815466,103.57155088783993
Kampung Pulai,Volunteer for Smart City Initiatives,0,6,14,17,37,83.8,1.4700005200569213,103.57105120102871
Nusa Sentral,Volunteer for Smart City Initiatives,0,1,0,0,1,0.0,1.465913795779402,103.61999373959245
Nusa Idaman,Volunteer for Smart City Initiatives,1,1,3,8,13,84.6,1.4685549974958767,103.63698309117409
Nusantara,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.4607259999999993,103.57992000000003
Pangsapuri Seri Mengkuang,Volunteer for Smart City Initiatives,0,2,0,0,2,0.0,1.3734244243868927,103.5928570083068
Pangsapuri Mengkuang,Volunteer for Smart City Initiatives,0,1,2,0,3,66.7,1.3758514746128425,103.59053703382611
Pekajang,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.3563022643554572,103.56359539905075
Perumahan Iskandar Malaysia,Volunteer for Smart City Initiatives,0,1,0,0,1,0.0,1.4767069191508742,103.6125235659439
Rumah Iskandar,Volunteer for Smart City Initiatives,2,3,7,8,20,75.0,1.4780528940047604,103.61829582592011
Skudai,Volunteer for Smart City Initiatives,0,0,0,3,3,100.0,1.5315719999999997,103.66048700000003
Sunway,Volunteer for Smart City Initiatives,0,2,1,0,3,33.3,1.3890379999999996,103.63923900000003
Sunway Iskandar Puteri,Volunteer for Smart City Initiatives,0,0,1,1,2,100.0,1.3920988729986623,103.63520964839215
Taman Desa Skudai,Volunteer for Smart City Initiatives,1,4,14,20,39,87.2,1.5445389999999994,103.64477400000003
Taman Desa Paya Mengkuang,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.3782679999999992,103.59063600000003
Taman Jaya Mas,Volunteer for Smart City Initiatives,0,1,0,0,1,0.0,1.494323999999999,103.64437500000004
Taman Harmoni,Volunteer for Smart City Initiatives,1,0,2,2,5,80.0,1.5366069999999992,103.65275500000003
Taman Medini,Volunteer for Smart City Initiatives,0,0,1,0,1,100.0,1.4382652948728767,103.63512496948204
Taman Mutiara Rini,Volunteer for Smart City Initiatives,1,1,5,6,13,84.6,1.5253379999999994,103.63999100000002
Taman Mas Gelang Patah,Volunteer for Smart City Initiatives,0,3,8,3,14,78.6,1.4583119999999998,103.58953500000003
Taman Nusa Sentral,Volunteer for Smart City Initiatives,0,4,11,13,28,85.7,1.4686479101754246,103.6218457728127
Taman Nusantara Gelang Patah,Volunteer for Smart City Initiatives,3,6,30,37,76,88.2,1.469847999999999,103.58241300000003
Taman Pulai Indah,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.5415969999999994,103.58063000000003
Taman Nusa Perintis,Volunteer for Smart City Initiatives,1,5,11,15,32,81.2,1.4547929999999991,103.59158100000003
Taman Skudai,Volunteer for Smart City Initiatives,0,0,2,0,2,100.0,1.5152201341720626,103.64827600217464
Taman Skudai Baru,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.4989249999999998,103.63336700000004
Taman Pulai Utama,Volunteer for Smart City Initiatives,0,1,7,12,20,95.0,1.546635,103.61666900000003
Taman Sri Pulai,Volunteer for Smart City Initiatives,0,3,14,13,30,90.0,1.5662840000000007,103.62084300000002
Taman Sri Pulai Perdana,Volunteer for Smart City Initiatives,1,1,2,8,12,83.3,1.5608590000000002,103.61197300000003
Taman Sri Orkid,Volunteer for Smart City Initiatives,0,0,2,6,8,100.0,1.5111799999999993,103.63989200000003
Taman Ungku Tun Aminah,Volunteer for Smart City Initiatives,0,5,8,19,32,84.4,1.5222169999999993,103.65947500000003
Tanjung Adang,Volunteer for Smart City Initiatives,0,0,0,2,2,100.0,1.354748269159172,103.56555518083186
Taman Universiti,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.5338589999999999,103.61640700000002
Tun Aminah,Volunteer for Smart City Initiatives,0,3,15,15,33,90.9,1.5114129999999992,103.65721300000003
Tanjung Kupang,Volunteer for Smart City Initiatives,1,2,6,10,19,84.2,1.3836689999999994,103.60085000000002
Kampung Desa Paya Mengkuang,Volunteer for Smart City Initiatives,0,0,0,1,1,100.0,1.3728309999999984,103.58580900000003
Kangkar Pulai,Financially Support Smart City,0,2,1,0,3,33.3,1.557623346255399,103.5900325818511
Mutiara Rini,Financially Support Smart City,0,1,0,0,1,0.0,1.5078355041694056,103.62959825945602
